,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
378,Magnifique penthouse F4 aux almadies,3 chambre,400 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/24645a8ff2bfda525a5b428a6dac598b/-/horizon-files-prod/ed/picture/q5m60kn/a75abb94066ca6330cf25f31ec31a82eb02026aa.jpg,"['Almadies,', 'Dakar']","28. nov. '22, 19:08","['1', '600', '000 F Cfa']"
379,Joli appartement à louer à ngor zone calme,4 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/080fe6f2526ab2aec34bb1b326365319/-/horizon-files-prod/ed/picture/qnmdqkx/d912ee3e683ba9c9e58e09509ed7ccc5c94eda85.jpg,"['Ngor,', 'Dakar']","28. nov. '22, 17:58","['750', '000 F Cfa']"
380,Appartement de 200 m2,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/3b9fca964dd530257034c9961a090be8/-/horizon-files-prod/ed/picture/qderdg84/cedf3912ba25ebb79f5ff50813e3880aac7628c6.jpg,"['Ngor,', 'Dakar']","28. nov. '22, 15:37","['1', '500', '000 F Cfa']"
381,APPARTEMENT 2 CHAMBRES - STANDING - OUAKAM,2 chambre,130 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/07aa4101db2f1431eadd6e3684267803/-/horizon-files-prod/ed/picture/qkrm8gzx/7e5d05790aff23aaeaaf007e403df0d497a4c4d0.jpg,"['Ouakam,', 'Dakar']","8. déc. '22, 12:58","['850', '000 F Cfa']"
382,Appartement 3 chambres - STANDING - PLATEAU,3 chambre,180 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/c6e94dd0957c6db72a928f06295262cd/-/horizon-files-prod/ed/picture/qj4mde2w/0134d56d8c4e44810e23e2eb5fe6d66256de2c92.jpg,"['Plateau,', 'Dakar']","28. nov. '22, 14:08","['1', '650', '000 F Cfa']"
383,Joli appartement a louer aux almadie zone calme,3 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/3affb978fc4eac2cbf427d94c3d3fb4f/-/horizon-files-prod/ed/picture/qendmw5x/0f4e1071a42618f82c16f34a55d0d9095ba8ecc1.jpg,"['Almadies,', 'Dakar']","28. nov. '22, 14:08","['400', '000 F Cfa']"
384,Appartement de 3 chambres - HAUT STANDING - FANN CORNICHE,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/05ea2bd4234703249e0c0d3bbe975e65/-/horizon-files-prod/ed/picture/qwem97jz/02704bca347131e3f1d748b5c081e24031e5f293.jpg,"['Fann,', 'Dakar']","lundi, 14:03","['3', '200', '000 F Cfa']"
385,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
386,Appartement neuf sur la route de ouakam,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/4d510553d101725c315001eda3d6bfea/-/horizon-files-prod/ed/picture/q4e2x2p/931dda2cb4ea28452abcfa20cb701ac1a6ae4e62.jpg,"['Ouakam,', 'Dakar']","28. nov. '22, 13:30","['1', '500', '000 F Cfa']"
387,APPARTEMENT DE 4 CHAMBRES SALON,4 chambre,230 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5dc11a0787c3d4c1635b8963686d5766/-/horizon-files-prod/ed/picture/qderw6zw/846e46d9319784a340dbcbe8e12438b7b519f139.jpg,"['Virage,', 'Dakar']","28. nov. '22, 12:45","['1', '500', '000 F Cfa']"
388,PENTHOUSE F6 AU VIRAGE,5 chambre,473 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e964852317c611b1c69e8f586aa3840a/-/horizon-files-prod/ed/picture/q6x7qm4n/791a92792ca1e9b2d526ee0788c6834f8b1e8027.jpg,"['Virage,', 'Dakar']","28. nov. '22, 12:45","['3', '000', '000 F Cfa']"
389,APPARTEMENT À LOUER DERRIÈRE HÔTEL ONOMO,2 chambre,180 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cb3d52b04deb8f4f1f64c4d6428ba076/-/horizon-files-prod/ed/picture/qj4mz62w/d99cbd2533cca2447e8d8283c52106fcb43222a6.jpg,"['Virage,', 'Dakar']","28. nov. '22, 12:38","['475', '000 F Cfa']"
390,Appartemment 3 chambres au point E,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/fad207c677ab3e66c11a12c2587eb0fb/-/horizon-files-prod/ed/picture/qj4m7erd/780d2f0a3b0366fb8b81a85e5b6bf1d27093d75a.jpg,"['Point-e,', 'Dakar']","28. nov. '22, 11:50","['1', '200', '000 F Cfa']"
391,Appartement de standing à mermoz Sotrac,3 chambre,1 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/81501c14b52e20beab05038822b9ebf5/-/horizon-files-prod/ed/picture/q56w8qe0/e656f70c9da86ea02410691051ccbe426e55ad7c.jpg,"['Mermoz,', 'Dakar']","28. nov. '22, 11:33","['750', '000 F Cfa']"
392,Appartement à louer à Ngor,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/acec960bfd6cdebea692a3ba99d0d3a5/-/horizon-files-prod/ed/picture/qkrmd678/f2d2dbdffc5cd620cf7295a187768f7c0dac1e6c.jpg,"['Ngor,', 'Dakar']","28. nov. '22, 11:16","['350', '000 F Cfa']"
393,300 m2,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/8dc220a5c87170eb178711e77e44fa44/-/horizon-files-prod/ed/picture/q0gpx496/a41c74f2cf9ea15553f1bcb64158745904795543.jpg,"['Almadies,', 'Dakar']","28. nov. '22, 11:10","['1', '200', '000 F Cfa']"
